Job ID,Job Title,Company,Job_Description,Job Profile
3503619612,Desenvolvedor de Software Jr - Low Code / No Code - Home Office,Unimed Grande Florianópolis,"Sobre a UGF:




Somos a maior cooperativa de saúde de Santa Catarina, há mais de 50 anos nos dedicamos a cuidar da saúde e do bem-estar das pessoas. Faça parte da equipe Unimed Grande Florianópolis e contribua para a qualidade e a eficiência de nossos serviços. Venha ser um UGFer!




O que você fará:




Atuar em todo o processo de desenvolvimento de produto, participando de equipes multidisciplinares. Codificar e automatizar testes, bem como contribuir para evolução de sistemas já existentes. Sugerir mudanças nos processos executados pela equipe, considerando aspectos relacionados a escalabilidade, performance, qualidade de código e arquitetura de software. Deverá manter-se atualizado quanto às tendências de mercado, em relação a novas tecnologias e metodologias utilizadas no desenvolvimento de produtos.




Precisamos que você tenha:




Ensino Médio completo;




Desenvolvimento de software;




Desenvolvimento backend (JAVA, spring-boot);




Conhecimento das melhores práticas de desenvolvimento de software como: Clean code, Refactoring, SOLID, etc;




Conhecimento em banco de dados relacionais (postgres, mysql, etc);




Metodologias Ágeis (Scrum).




Você irá se destacar se tiver:




Ensino Superior cursando, preferencialmente em Ciências da computação ou Sistemas de informação;




Conhecimento em tecnologias voltadas para o front-end (javascript, html, css, frameworks).




Modelo de trabalho: Teletrabalho.




Remuneração: R$ 5.940,48




Porque você vai adorar trabalhar com a gente:




Auxílio educação para colaboradores com 1 ano de empresa;
Ginástica Laboral;
Vale refeição e/ou alimentação (R$ 800,00)
Fornecemos ajuda de custo ($) para o trabalho remoto;
Auxílio creche;
Vale transporte;
Plano de saúde para quem residir na Grande Florianópolis e quem reside fora da Grande Florianópolis na modalidade Home office, oferecemos o auxílio saúde;
Plano odontológico;
Folga de aniversário;
Plano de carreira, cargos e salário;
Programa Psicologia Viva (Psicoterapia Online);
Gympass.




Horário de trabalho: De segunda a sexta das 08:00 às 18:00.




Temos orgulho de nossos talentos e de promover uma cultura inclusiva. Por isso, consideramos todas as candidaturas para as nossas vagas sem distinção de etnias, raça, cor, religião, gênero e identidade de gênero, nacionalidade, deficiência, orientação sexual, idade, cultura etc.
Show more ",Software Developer
3489403427,Software Engineer,LinkedIn,"The ideal candidate will help build, maintain, and troubleshoot, the company's rapidly expanding infrastructure. They will work alongside other engineers to ensure highest levels of performance and ability, and manage any problems that arise.  

 

Responsibilities
Manage and monitor installed systems
Test and maintain operation systems
Monitor application performance




Qualifications

Bachelor's degree in Computer Science or related field
Experience in configuring, monitoring and troubleshooting systems
Strong scripting and technical skills

Show more ",Software Developer
3490979195,Software Engineer,PayPal,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.




Job Description Summary:




About PayPal We believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives. P2P team is looking for an experienced engineer with solid backend development skills to design and build the right P2P products. Your primary focus will be to work on product requirements and undergo the entire SDLC process to create highly available, highly scalable and high quality products.




Job Description:




Your Day to Day Activities:




Coding, testing and debugging programs according to computer engineering specifications
Modifying, expanding and updating applications
Developing software prototypes
Working with quality assurance to develop software test plans
Deploying code in LIVE
Monitoring applications in LIVE and solving LIVE issues
Documentation skills to articulate solution design and implementation plans






What you need to bring to the table:




Programming skills in Java
Exposure to additional languages and frameworks such as C#/C++, HTML, Microsoft. NET, and SQL server.






Education




Bachelor's degree in computer science or similar field but may accept two-year technical degree if combined with several years of practical experience




Experience




Level III - Advanced: 6-8 years




Our Benefits:




At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.




We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com




Who We Are:




To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx




PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.




PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.




As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.




REQ ID R0099417
Show more ",Software Developer
3507663809,Junior Software Developer (Web/Front-End),Samsung Brasil,"Position Summary




Develop a differentiated system by understanding the hardware architecture of a system and optimize its design.
Develop an optimal system by understanding and designing a system’s software architecture and subsystems.
Develop an optimal system which integrates service and application by applying system software to system hardware.




Role And Responsibilities




[System architecture] Help to design an optimal system taking various factors into consideration like performance, expandability, expense, and electricity consumption. (Considering both hardware and software)
[Designing system hardware] Help to design key function block, interface, and layout based on features of hardware components and requirements.
[System strategy] Help to establish a system strategy, discover a new technology, and develop and follow technological standards.
[System software] Help to analyze requirements and understand a development framework. Make a design for planning, development, inspection, maintenance, and management when developing an application.
[System improvement] Help to achieve system innovation by monitoring it and finding areas to be improved.




Skills And Qualifications




Has substantial understanding on the job and applies knowledge and skills to complete a wide range of tasks
Works on assignments that are moderately difficult, requiring judgment in resolving issues or in making recommendations
Normally receives little instruction on everyday work and general instructions on newly introduced assignments
Typically requires a minimum 3 years of related experience since TB1.




Opportunity in Campinas/SP.




Confidential and proprietary information obtained by the candidate during his employment history with other companies must be kept as such (Confidential & Proprietary) throughout the selection process and must not be questioned in any way.




Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here.
Show more ",Software Developer
3497871312,Software Engineer,Oracle,"Want to come join the Oracle Health Data & Analytics Team?




We are looking for developers to help hospitals improve the quality of patient care by developing regulatory based reports. Developers with knowledge in databases, SQL, and reporting should apply.




Job description:




As a member of the Quality Measures mPages regulatory team, you will use basic knowledge of software architecture to perform tasks associated with developing, debugging or designing software applications according to provided design specifications. Build enhancements within an existing software architecture.




Work involves some problem solving with assistance and guidance in understanding and applying company policies and processes. Gaining competence in own area and acquiring a higher level understanding of role, processes and procedures. BS degree or equivalent experience relevant to functional area. 0-2 years of previous software engineering or related experience.




Responsibilities:




Responsibilities of a Software Developer on the Quality Measures mPages regulatory team will include development of CCL and JavaScript applications based upon government specifications and company procedures. Additionally the developer will provide support of the solution clients through their applications and submissions of their regulatory reporting to government agencies.




Disclaimer:




Certain US customer or client-facing roles may be required to comply with applicable requirements, such as immunization and occupational health mandates.




Range and benefit information provided in this posting are specific to the stated location(s)




California Pay Range: from $72,300 to $151,600 per annum. May be eligible for bonus and equity.

Colorado Pay Range: from $60,700 to $136,400 per annum. May be eligible for bonus and equity.

New York City Pay Range: from $73,500 to $144,000 per annum. May be eligible for bonus and equity.

Washington Pay Range: from $78,100 to $144,000 per annum. May be eligible for bonus and equity.




Oracle maintains broad salary ranges for its roles in order to account for variations in knowledge, skills, experience and market conditions, as well as reflect Oracle’s differing products, industries and lines of business.

Candidates are typically placed into the range based on the preceding factors as well as internal peer equity.




Oracle offers a comprehensive benefits package which includes the following:

1. Medical, dental, and vision insurance, including expert medical opinion

2. Short term disability and long term disability

3. Life insurance and AD&D

4. Supplemental life insurance (Employee/Spouse/Child)

5. Health care and dependent care Flexible Spending Accounts

6. Pre-tax commuter and parking benefits

7. 401(k) Savings and Investment Plan with company match

8. Flexible paid time off (unlimited or accrued vacation and sick leave)

9. Paid parental leave

10. Employee Stock Purchase Plan

11. Adoption assistance

12. Financial planning and group legal

13. Voluntary benefits including auto, homeowner and pet insurance




Email of Internal Contact

Show more ",Software Developer
3497424706,Junior Software Developer,PersonalSoft,"Únete a nuestro equipo PersonalSoft. Somos una compañía con más de 20 años de experiencia en desarrollo de software, servicios de analítica, automatización de procesos, con presencia en Bogotá, Medellín, Panamá, El Salvador, República Dominicana y EE.UU.




¿Qué buscamos?




Un Ingeniero de Software Junior con muchas ganas de crecer y aprender dentro de nuestra compañia.
Con conocimiento basicos en: Base de Datos, ETL´s, lenguaje de programación PL/SQL, Java, C++.
Ecosistema de nube: Perl, Python, Ruby, .NET; etc.
Buen nivel de inglés, en escritura y conversación.




Funciones y Responsabilidades




Ingenieros en Desarrollo de Software Jr, o carrera afín, sin experiencia, pero con sólidos conocimientos en todo el ciclo del desarrollo de software en metodologías ágiles (análisis, diseño, construcción, pruebas e implementación).




Habilidades blandas y tecnicas




Autodidacta
Trabajo en equipo
Trabajo colaborativo
Confiables
Comprometidos
Responsables con el trabajo.




Requisitos mínimos




Ingenieros en Desarrollo de Software Jr, o carrera afín, sin experiencia.
Con conocimiento basicos en: Base de Datos, ETL´s, lenguaje de programación PL/SQL, Java, C++.
Ecosistema de nube: Perl, Python, Ruby, .NET; etc.
Buen nivel de inglés, en escritura y conversación.
Show more ",Software Developer
3497654432,Software Engineer,Illuma,"We are looking for a highly motivated Software Engineer to work within our technical team, helping to drive efficiency through innovative solutions. Technology is central to our continued growth and you will be supported by and work alongside other engineers.

This is a fantastic opportunity to work in a truly dynamic company under inspiring leadership, where you will have the opportunity to work on some of the most exciting technologies in the sector. On a day to day basis you will be responsible for and take the lead on a number of projects where you will use your analytical skills to understand the given brief and foresee any technical challenges that may arise. Alongside others you will be responsible for data management, data analysis, data visualisation and interface development.

Requirements

Key Responsibilities and Accountabilities

Use a combined knowledge of computer science and applications, modelling statistics, analytics and maths to solve problems
Develop backend software solutions by studying information needs, analysing user requirements, and studying systems flow, data usage, and work processes
Write and test code, refining and rewriting it as necessary and communicate with any programmers involved in the project
Improve and develop existing programs by analysing and identifying areas for modification
Integrate existing software products and get incompatible platforms to work together
Maintain systems by monitoring and correcting software defects
Sift and analyse data from multiple angles, looking for trends and insights that highlight problems or opportunities
Brainstorm for new ideas and technologies to improvement development delivery
Continually update technical knowledge and skills
Follow all best practices and procedures as established by company


Knowledge, Skills And Experience

2:1 degree or higher from a top university in Computer Science, Software Engineering or related area of study
Excellent written and spoken English
Experience with software development lifecycle, from conception, architecture definition, detailed design, scoping, planning, implementation, testing to documentation, delivery and maintenance
Proficiency in Python backend software development
Experience with version control system: Git (Github & Bitbucket)
Experience with Linux infrastructures, database SQL (MySQL, PostgreSQL), CI/CD tools, shell scripting
Experience with Virtualisation (e.g. Docker), configuration management (Ansible, AWS CloudFormation), access control/security
Cloud Service and distributed systems: Amazon Web Echo-System, Google Cloud Platform
Web development experience, such as HTML, CSS, JavaScript, Flask, Django, is preferable
Knowledge & experience of machine learning, data analysis and data visualisation are preferable
Knowledge & experience with digital advertising (e.g. demand-side platforms, sell-side platforms, Ad exchanges, etc) are preferable
Up-to-date on latest industry trends; able to articulate trends and potential clearly and confidently


Benefits

25 days holiday plus bank holidays
Private medical insurance (with half price gym membership)
Pension
Team socials, stocked fridge, snacks
We operate a Hybrid working model with initially the opportunity to work remotely for up to one day a week increasing to two days after successful probation period.
Show more ",Software Developer
3514254707,Jr./Mid-Level Software Engineer (Remote),Staffingly,"In this position, you will be working with software control and data processing systems for optical ground systems and radio antennas. You will be responsible for supporting Satellite Laser Ranging (SLR) and Very Long Baseline Interferometry (VLBI) operations, maintenance, test and integration of upgrades for the NASA Space Geodesy Network (NSGN) Data Operations Center (DOC).

Responsibilities will include:

Monitor data reception, processing, quality control, and delivery to the ILRS data centers.
Prepare data reports for SLR engineering tests.
Develop code in accordance with applicable requirements documentation.
Develop and execute test plans for software system verification and acceptance and develop required documentation.
Support the integration of hardware and software systems and generation of related documentation.
Support software maintenance services which may include problem troubleshooting, software update/installation, and/or modification of system software.
Identify design alternatives and performing trade studies for system upgrades related to unsupported software and obsolete hardware.
Provide support for legacy Linux systems and software, using Perl, C++, GO or Python as well as legacy Fortran utilities.
Develop and execute software test plans and procedures, to include verification/validation of operational software.
Perform duties in accordance with all systems engineering and configuration management policies and procedures.


REQUIRED EXPERIENCE:

BS degree in Computer Science, Math, Engineering or other related technical field and 1+ years of experience in software development and engineering
Experience with Perl and C++ programming languages, as well as Bash scripting
Experience with Oracle databases for data storage and retrieval


Other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. In addition, we provide a variety of benefits to employees.
Show more ",Software Developer
3500262155,Ingeniero de software Frontend,Mercado Libre,"En Mercado Libre estamos democratizando el comercio, el dinero y los pagos en América Latina.

Tecnología es la esencia de nuestro producto. Nuestros equipos de desarrollo, arquitectura, base de datos, user experience, seguridad informática y data & analytics co-crean y son responsables de la plataforma líder de e-commerce de América Latina y de uno de los sitios de mayor tráfico en todo el mundo. En una industria que se reinventa día a día, nuestros equipos son reconocidos por su visión y liderazgo. Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco: simplificarle la vida a quien utiliza nuestros productos.

Tenemos un desafío para quienes:

Vibran energía emprendedora: se mueven por la curiosidad, nunca se rinden y se enfocan en superar sus propios límites.
Dan el máximo porque les gusta trabajar con compromiso y dedicación.
Viven los cambios como oportunidades y aprenden de sus errores.
La excelencia y la ejecución son claves en su forma de hacer las cosas.
Promueven el buen clima, aportan alegría y diversión.
Saben cómo construir con otras personas y disfrutan trabajando en equipo.

Imagínate emprendiendo proyectos desafiantes, dinámicos e innovadores y siendo responsable de:

Participar del ciclo completo de desarrollo de producto desde el análisis, prototipado y pruebas con usuarios hasta la mejora continua de las soluciones.
Construir sistemas de frontend eficientes y reutilizables.
Colaborar en la generación de nuevos productos, junto a profesionales de diseño y desarrollo de software.
Identificar y comunicar las mejores prácticas para la ingeniería de frontend, formando parte del diseño y revisión del código.

Requisitos:

Ser profesional de Ingeniería en Sistemas o carreras afines.
Poseer 2 años de experiencia de trabajo en frontend en ambientes de alto desempeño.
Contar con experiencia de trabajo con tecnologías web abiertas como JavaScript, HTML y CSS.
Tener experiencia en la utilización de NodeJS, Express, React, Sass, WPO y SEO.

Te proponemos:

Ser parte de una compañía con espíritu emprendedor en la que nos encanta pensar en grande y a largo plazo.
Ser protagonista de tu desarrollo en un ambiente de oportunidades, aprendizaje, crecimiento, expansión y proyectos desafiantes.
Compartir y aprender en equipo junto a grandes profesionales y especialistas.
Un excelente clima de trabajo, con todo lo necesario para que vivas una gran experiencia. :)

​​​​​​​En Mercado Libre trabajamos para promover una cultura inclusiva, que busca la equidad y valora las diferentes perspectivas. Esto se traduce en género, religión, personas con discapacidad, LGBTQ+, etnia y diversidad de experiencias. Trabajamos todas nuestras búsquedas con base en esta premisa. ¡Súmate a nuestro equipo!

Show more ",Software Developer
3503231568,DESARROLLADOR DE SOFTWARE,Cajasan,"Habilidad en programación y desarrollo de software backend y frontend Análisis y desarrollo de aplicaciones web Mejora y desarollo de nuevas utilidades para proyectos de software actuales Desarrollo de nuevas aplicaciones Uso de PHP, Java Script, VUE, HTML, jasper report, framework.




Habilidad en programación y desarrollo de software backend y frontend Análisis y desarrollo de aplicaciones web Mejora y desarollo de nuevas utilidades para proyectos de software actuales Desarrollo de nuevas aplicaciones Uso de PHP, Java Script, VUE, HTML, jasper report, framework.
Show more ",Software Developer
